last_payment_amnt,total_received_principal,term_ordinal,total_payment_investors,total_payment,term_since_last_pay_mth,purpose_small_business,inquiries_last_6mths,interest_rate,purpose_credit_card,funded_amount,installment,loan_amount,funded_amount_investors,interest_rate,revolving_utillization,purpose_small_business,debt_to_income_ratio,verification_status_Verified,purpose_major_purchase,repay_fail
2310.28,11000.0,1,14036.69,14068.66001,51.0,0,0.0,10.37,0,11000.0,235.73,11000.0,10975.0,10.37,0.426,0,21.38,1,0,0
217.67,6000.0,0,7441.76,7441.761269,37.0,0,1.0,14.54,1,6000.0,206.65,6000.0,6000.0,14.54,0.951,0,23.24,1,0,0
2728.64,16000.0,0,18779.65,18779.64573,31.0,0,1.0,10.99,0,16000.0,523.75,16000.0,16000.0,10.99,0.427,0,24.0,1,0,0
1991.79,8000.0,0,8825.19,8936.899904,29.0,0,0.0,7.66,0,8000.0,249.44,8000.0,7900.0,7.66,0.121,0,1.25,1,1,0
662.95,5940.22,1,9943.49,9943.49,15.0,0,0.0,11.71,0,29812.5,662.95,29550.0,27575.0,11.71,0.025,0,0.22,1,0,1
114.82,3500.0,0,3800.49,3800.487597,37.0,1,0.0,5.42,0,3500.0,105.56,3500.0,3500.0,5.42,0.069,1,14.1,0,0,0
1562.45,6400.0,0,5987.25,7096.003486,29.0,0,0.0,7.14,0,6400.0,198.02,6400.0,5400.0,7.14,0.086,0,9.43,0,0,0
3809.25,13800.0,0,15393.67,15393.6719,29.0,0,2.0,7.66,0,13800.0,430.29,13800.0,13800.0,7.66,0.384,0,21.15,1,0,0
7723.26,15000.0,0,18087.37,18087.37267,18.0,0,3.0,17.99,0,15000.0,542.22,15000.0,15000.0,17.99,0.585,0,21.04,1,0,0
52.73,1275.0,0,1596.24,1596.239355,37.0,0,2.0,15.23,0,1275.0,44.35,1275.0,1275.0,15.23,0.574,0,24.59,1,0,0
240.17,6500.0,0,8080.35,8080.346877,36.0,0,4.0,14.72,0,6500.0,224.44,6500.0,6500.0,14.72,0.314,0,0.93,1,0,0
3139.02,11200.0,1,18029.12,18315.30005,51.0,0,0.0,22.06,0,11200.0,309.72,11200.0,11025.0,22.06,0.528,0,22.9,1,0,0
8017.8550000000005,25000.0,1,30777.455,32150.9887785,42.0,0,0.0,12.99,0,25000.0,568.7,25000.0,24475.0,12.99,0.396,0,25.18,1,0,0
448.3,13000.0,0,15662.18,15662.17906,36.0,0,1.0,12.53,1,13000.0,435.07,13000.0,13000.0,12.53,0.772,0,10.06,1,0,0
1605.65,10000.0,0,441.78,12622.31795,37.0,0,0.0,14.7,0,10000.0,345.18,10000.0,350.0,14.7,0.85,0,7.22,0,0,0
308.87,10000.0,0,10857.53,10857.53439,36.0,0,0.0,5.42,0,10000.0,301.6,10000.0,10000.0,5.42,0.388,0,12.69,0,0,0
159.37,5000.0,0,797.83,5698.810312,36.0,0,2.0,8.7,0,5000.0,158.31,5000.0,700.0,8.7,0.073,0,0.38,0,1,0
1010.28,2000.0,0,2060.18,2060.182535,6.0,0,3.0,8.49,0,2000.0,63.13,2000.0,2000.0,8.49,0.175,0,3.16,1,0,0
371.66,10000.0,0,12464.51,12527.15,36.0,0,3.0,15.27,0,10000.0,347.98,10000.0,9950.0,15.27,0.691,0,3.64,1,0,0
79.27,2400.0,0,2163.36,2806.524715,37.0,0,2.0,10.46,0,2400.0,77.97,2400.0,1850.0,10.46,0.341,0,19.29,0,1,0
333.65,10000.0,0,11163.54,11163.54473,37.0,0,0.0,7.29,0,10000.0,310.1,10000.0,10000.0,7.29,0.453,0,2.25,0,0,0
4320.74,14825.0,0,17721.14,17721.13758,28.0,0,1.0,12.69,0,14825.0,497.31,14825.0,14825.0,12.69,0.638,0,18.53,1,0,0
788.64,4000.0,0,4696.06,4696.064507,31.0,0,0.0,10.99,0,4000.0,130.94,4000.0,4000.0,10.99,0.198,0,12.27,0,0,0
6432.53,26008.03,0,30777.455,32150.9887785,31.0,0,0.0,8.9,0,29550.0,821.53,29550.0,27575.0,8.9,0.429,0,22.86,1,0,0
1136.31,1375.0,0,911.75,1432.734627,9.0,0,0.0,6.91,1,1375.0,42.4,1375.0,875.0,6.91,0.342,0,12.03,0,0,0
144.26,4400.0,0,4956.36,4956.363334,36.0,0,0.0,7.9,0,4400.0,137.68,4400.0,4400.0,7.9,0.541,0,1.09,0,0,0
550.97,4090.78,0,6279.44,6321.72,14.0,0,4.0,15.95,0,15000.0,526.99,15000.0,14900.0,15.95,0.862,0,9.13,1,0,1
362.73,6000.0,0,6449.78,6449.782699,25.0,0,0.0,7.29,0,6000.0,186.06,6000.0,6000.0,7.29,0.12,0,12.55,1,0,0
369.4,2810.31,1,5157.25,5189.78,15.0,1,0.0,13.72,0,15975.0,369.4,25000.0,15875.0,13.72,0.878,1,21.1,1,0,1
121.06,1084.95,0,1567.02,1567.02,14.0,0,1.0,14.84,0,3500.0,121.06,3500.0,3500.0,14.84,0.756,0,20.4,1,0,1
89.89,2525.0,0,1215.06,3068.020133,36.0,0,3.0,13.12,0,2525.0,85.23,2525.0,1000.0,13.12,0.305,0,20.67,0,0,0
851.41,5323.38,0,781.02,7661.88,9.0,0,2.0,13.75,0,25000.0,821.53,25000.0,2550.009713,13.75,0.436,0,19.78,0,0,1
372.87,6423.87,1,14149.35,14149.35,35.0,0,1.0,20.25,1,14000.0,372.87,14000.0,14000.0,20.25,0.493,0,20.58,0,0,1
2.16,6500.0,0,346.98,7517.872492,25.0,0,1.0,11.03,0,6500.0,212.9,6500.0,300.0,11.03,0.266,0,11.76,0,0,0
783.0,2800.0,1,3544.51,3544.512784,45.0,0,0.0,10.74,0,2800.0,60.52,2800.0,2800.0,10.74,0.729,0,20.2,1,0,0
782.89,21600.0,0,26180.07,26240.80999,38.0,0,1.0,12.99,0,21600.0,727.69,21600.0,21550.0,12.99,0.0,0,6.12,1,0,0
259.28,2200.0,0,2220.51,2398.909196,13.0,0,0.0,13.23,0,2200.0,74.38,2200.0,2040.335649,13.23,0.234,0,4.8,1,1,0
120.77,2785.13,0,3612.83,3612.83,29.0,0,3.0,12.69,0,3600.0,120.77,3600.0,3600.0,12.69,0.13,0,19.0,0,0,1
862.05,25000.0,0,29888.38,30190.27801,37.0,0,0.0,12.69,0,25000.0,821.53,25000.0,24750.0,12.69,0.704,0,19.06,1,0,0
101.18,2119.43,0,991.42,3200.67,12.0,0,3.0,13.79,0,10000.0,340.76,10000.0,2390.793609,13.79,0.877,0,21.63,0,0,1
6981.44,20050.0,1,25854.19,25918.83001,44.0,0,1.0,11.49,0,20050.0,440.86,20050.0,20000.0,11.49,0.408,0,24.34,1,0,0
8017.8550000000005,18000.0,0,20192.6,20390.84599,17.0,0,0.0,12.18,0,18000.0,599.4,18000.0,17825.0,12.18,0.458,0,9.28,0,0,0
437.49,11800.0,0,14362.81,14516.58325,36.0,0,1.0,13.99,0,11800.0,403.24,11800.0,11675.0,13.99,0.427,0,4.6,1,0,0
2447.8,5500.0,0,5979.89,6007.201116,22.0,0,0.0,6.92,0,5500.0,169.63,5500.0,5475.0,6.92,0.307,0,16.83,0,0,0
61.75,4000.0,0,4382.79,4410.349929,31.0,0,0.0,7.51,0,4000.0,124.45,4000.0,3975.0,7.51,0.161,0,21.27,1,0,0
343.49,4800.0,0,5240.88,5850.280966,36.0,0,0.0,13.35,0,4800.0,162.55,4800.0,4300.0,13.35,0.772,0,14.72,0,0,0
202.95,3000.0,0,3553.74,3553.737028,36.0,0,0.0,11.36,0,3000.0,98.74,3000.0,3000.0,11.36,0.566,0,18.04,1,0,0
124.34,548.55,1,3214.88,3214.88,9.0,0,1.0,15.23,0,5200.0,124.34,5200.0,5200.0,15.23,0.838,0,10.83,1,0,1
3386.75,21000.0,1,29709.97,29745.38003,53.0,0,1.0,15.23,0,21000.0,502.13,21000.0,20975.0,15.23,0.517,0,14.97,1,0,0
274.45,4003.04,0,5783.23,5783.23,21.0,0,0.0,14.26,0,8000.0,274.45,8000.0,8000.0,14.26,0.772,0,11.61,0,0,1
1642.16,1800.0,0,1772.27,1876.53091,5.0,0,5.0,10.71,1,1800.0,58.69,1800.0,1700.0,10.71,0.634,0,11.55,0,0,0
4425.63,6000.0,0,6388.32,6442.007726,12.0,0,0.0,9.32,0,6000.0,191.69,6000.0,5950.0,9.32,0.268,0,12.48,1,0,0
2100.26,5000.0,0,5540.13,5540.128901,23.0,0,2.0,7.88,0,5000.0,156.41,5000.0,5000.0,7.88,0.173,0,4.88,1,0,0
390.96,12000.0,0,13514.0,13513.99628,37.0,0,0.0,7.88,0,12000.0,375.38,12000.0,12000.0,7.88,0.51,0,7.04,0,0,0
4332.85,5000.0,1,5961.47,5991.423678,14.0,0,0.0,18.3,0,5000.0,127.79,5000.0,4975.0,18.3,0.306,0,2.33,1,0,0
8017.8550000000005,25000.0,0,11095.43,29647.06479,20.0,0,2.0,14.42,0,25000.0,821.53,25000.0,9350.0,14.42,0.665,0,1.48,1,0,0
725.31,19999.99,0,23632.88,25191.35212,36.0,1,3.0,15.65,0,20000.0,699.73,20000.0,18811.2853,15.65,0.829,1,20.74,0,0,0
232.0,1500.0,0,1654.44,1654.441353,24.0,0,1.0,10.74,0,1500.0,48.93,1500.0,1500.0,10.74,0.953,0,21.64,1,0,0
1556.63,4446.75,0,6081.42,6141.81,12.0,0,0.0,12.53,0,15250.0,510.37,15250.0,15100.0,12.53,0.039,0,10.96,1,0,1
8017.8550000000005,20000.0,0,22752.94,22838.5867,17.0,0,1.0,13.72,0,20000.0,680.84,20000.0,19925.0,13.72,0.31,0,14.16,1,0,0
6142.09,10000.0,0,10729.65,10865.4734,16.0,0,2.0,8.59,0,10000.0,316.11,10000.0,9875.0,8.59,0.167,0,4.14,0,0,0
3289.49,4000.0,0,4131.49,4131.491465,9.0,0,0.0,5.42,0,4000.0,120.64,4000.0,4000.0,5.42,0.216,0,6.15,0,0,0
3610.3,13000.0,0,14752.93,14752.93322,29.0,0,2.0,8.9,0,13000.0,412.8,13000.0,13000.0,8.9,0.235,0,18.53,1,0,0
363.32,14400.0,0,16010.67,16094.49074,24.0,0,0.0,10.37,0,14400.0,467.16,14400.0,14325.0,10.37,0.394,0,9.36,1,0,0
8017.8550000000005,16000.0,0,12967.4,16808.67823,6.0,0,1.0,10.75,0,16000.0,521.93,25000.0,12362.34,10.75,0.231,0,8.7,1,0,0
3328.24,3600.0,0,3836.57,3836.573687,5.0,0,1.0,16.49,0,3600.0,127.44,3600.0,3600.0,16.49,0.965,0,23.59,0,0,0
8017.8550000000005,20000.0,0,24590.26,24590.26334,21.0,0,0.0,17.14,0,20000.0,714.45,20000.0,20000.0,17.14,0.585,0,18.03,1,0,0
4963.14,10000.0,0,11638.08,11638.07916,22.0,0,0.0,12.42,0,10000.0,334.16,10000.0,10000.0,12.42,0.894,0,23.71,1,0,0
373.33,2435.23,0,3531.72,3531.72,8.0,0,1.0,7.51,0,12000.0,373.33,12000.0,12000.0,7.51,0.827,0,8.36,1,0,1
4959.31,5000.0,1,5177.54,5203.557983,4.0,0,1.0,16.45,0,5000.0,122.79,5000.0,4975.0,16.45,0.531,0,16.88,1,0,0
1676.62,3800.0,0,4104.26,4104.259128,22.0,0,0.0,6.03,0,3800.0,115.66,3800.0,3800.0,6.03,0.0,0,21.32,1,0,0
70.0,127.84,0,284.6,284.6,5.0,0,1.0,13.48,0,1500.0,50.89,1500.0,1500.0,13.48,0.476,0,0.63,0,0,1
409.42,12000.0,0,13696.66,13725.25003,36.0,0,0.0,8.94,0,12000.0,381.26,12000.0,11975.0,8.94,0.369,0,11.01,0,0,0
99.08,5000.0,1,5981.39,5981.389324,61.0,0,0.0,7.29,0,5000.0,99.7,5000.0,5000.0,7.29,0.108,0,4.92,0,0,0
602.99,15442.23,1,23491.81,23514.32,40.0,0,0.0,12.69,0,26000.0,587.47,26000.0,25975.0,12.69,0.597,0,21.92,1,0,1
3449.94,16250.0,1,21259.36,21292.11998,52.0,0,4.0,11.49,0,16250.0,357.3,16250.0,16225.0,11.49,0.273,0,29.36,1,0,0
567.82,25000.0,1,30777.455,32150.9887785,60.0,0,0.0,12.98,0,25000.0,568.58,25000.0,24975.0,12.98,0.245,0,17.0,1,0,0
39.73,1200.0,0,641.45,1399.520086,36.0,0,1.0,10.28,0,1200.0,38.88,1200.0,550.0,10.28,0.375,0,8.1,0,0,0
496.22,15598.65,1,30447.32,30469.08,35.0,1,0.0,18.39,0,29812.5,821.53,29550.0,27575.0,18.39,0.934,1,10.19,1,0,1
457.8,3399.99,0,3062.49,4162.970989,33.0,0,1.0,13.79,1,3400.0,115.86,11400.0,2590.04,13.79,0.564,0,20.11,1,0,0
425.06,13000.0,0,14584.04,14640.35377,36.0,0,0.0,7.88,0,13000.0,406.66,13000.0,12950.0,7.88,0.564,0,19.39,1,0,0
17.03,12600.0,1,12754.23,13038.8101,5.0,0,0.0,10.65,0,12600.0,271.77,12600.0,12325.0,10.65,0.305,0,19.36,0,0,0
427.72,8357.55,0,11334.69,11334.69,26.0,0,2.0,12.42,1,12800.0,427.72,12800.0,12800.0,12.42,0.932,0,22.58,0,0,1
239.9,12000.0,0,1226.71,14361.46082,43.0,0,0.0,11.86,0,12000.0,397.75,12000.0,1025.0,11.86,0.719,0,7.14,0,0,0
5104.99,6999.99,1,8808.74,8808.739093,24.0,0,0.0,15.57,0,7000.0,168.64,7000.0,7000.0,15.57,0.849,0,20.28,0,0,0
167.44,5124.99,0,870.0,6014.942565,36.0,0,2.0,10.71,1,5125.0,167.09,5125.0,806.2404957,10.71,0.945,0,6.77,0,0,0
88.86,2674.41,1,4615.64,4615.64,50.0,0,1.0,17.99,0,3500.0,88.86,3500.0,3500.0,17.99,0.946,0,19.2,0,0,1
430.38,12000.0,0,5073.22,15390.71497,37.0,0,3.0,16.95,0,12000.0,427.53,12000.0,4047.85,16.95,0.873,0,16.53,1,0,0
8017.8550000000005,20000.0,1,26664.04,27179.14443,29.0,0,0.0,18.3,1,20000.0,511.14,20000.0,19750.64927,18.3,0.678,0,3.55,0,0,0
3263.76,5600.0,0,5908.59,6071.215355,17.0,0,2.0,7.51,0,5600.0,174.23,5600.0,5450.0,7.51,0.348,0,20.51,1,0,0
7641.49,25000.0,1,30777.455,32150.9887785,48.0,0,0.0,18.3,0,25000.0,638.93,25000.0,24900.0,18.3,0.936,0,13.02,1,0,0
8017.8550000000005,10000.0,1,10609.57,10743.87002,7.0,0,0.0,13.23,0,10000.0,228.71,10000.0,9875.0,13.23,0.907,0,11.09,1,0,0
8017.8550000000005,14400.0,0,15451.83,15532.72756,15.0,0,0.0,7.66,0,14400.0,448.99,14400.0,14325.0,7.66,0.513,0,12.23,1,0,0
108.03,6000.0,0,1250.88,7322.221721,39.0,0,4.0,12.8,0,6000.0,201.6,6000.0,1025.0,12.8,0.797,0,15.2,0,0,0
2913.62,6500.0,0,7144.95,7172.543206,22.0,0,0.0,7.74,0,6500.0,202.93,6500.0,6475.0,7.74,0.132,0,18.0,0,0,0
633.13,19000.0,0,22715.26,22715.25852,37.0,0,0.0,11.99,0,19000.0,630.99,19000.0,19000.0,11.99,0.738,0,9.99,0,0,0
3883.2,14999.99,0,11201.55,17774.45875,29.0,0,0.0,11.89,0,15000.0,497.46,15000.0,9813.37516,11.89,0.431,0,6.19,1,0,0
68.32,2000.0,0,2207.38,2235.320941,36.0,0,0.0,7.37,0,2000.0,62.1,2000.0,1975.0,7.37,0.051,0,0.0,0,0,0
128.59,3500.0,0,4322.85,4322.847207,37.0,0,0.0,14.27,0,3500.0,120.09,3500.0,3500.0,14.27,0.702,0,20.19,0,0,0
109.69,3000.0,0,3657.42,3657.416032,36.0,0,0.0,13.35,0,3000.0,101.59,3000.0,3000.0,13.35,0.828,0,11.84,1,0,0
189.74,5000.0,0,5967.32,5967.318071,37.0,0,0.0,11.86,0,5000.0,165.74,5000.0,5000.0,11.86,0.449,0,9.55,0,0,0
953.97,2075.4,1,5721.3,5721.3,6.0,0,3.0,21.36,0,29812.5,821.53,29550.0,27575.0,21.36,0.614,0,12.56,1,0,1
1066.37,15000.0,0,19108.41,19108.40989,35.0,0,1.0,16.49,1,15000.0,531.0,15000.0,15000.0,16.49,0.975,0,14.35,0,0,0
7203.61,9050.0,0,9375.34,9379.835926,10.0,0,1.0,5.42,0,9050.0,272.95,9050.0,9046.130437,5.42,0.377,0,24.73,0,0,0
170.7,5000.0,0,5016.19,5787.793997,37.0,0,2.0,9.76,1,5000.0,160.78,5000.0,4350.13,9.76,0.606,0,4.45,0,0,0
3097.59,15000.0,1,20980.31,21050.48003,53.0,0,0.0,14.46,0,15000.0,352.62,15000.0,14950.0,14.46,0.74,0,5.21,1,0,0
718.62,7000.0,0,8115.41,8542.533032,35.0,0,2.0,13.49,0,7000.0,237.52,7000.0,6650.0,13.49,0.967,0,16.83,1,0,0
8017.8550000000005,18000.0,0,18108.99,20892.94268,18.0,0,2.0,13.48,0,18000.0,610.64,18000.0,16026.94424,13.48,0.277,0,8.69,1,0,0
884.81,24999.99,0,29987.04,30351.25468,36.0,0,2.0,13.06,0,25000.0,821.53,25000.0,24700.0,13.06,0.025,0,8.53,1,0,0
8017.8550000000005,12000.0,1,12118.28,12376.11535,3.0,0,0.0,12.69,0,12000.0,271.14,12000.0,11750.0,12.69,0.693,0,17.62,1,0,0
106.37,5000.0,1,5519.47,5519.46536,14.0,0,2.0,11.12,0,5000.0,109.02,5000.0,5000.0,11.12,0.057,0,17.6,1,0,0
8017.8550000000005,20000.0,0,21293.19,21400.19304,6.0,0,1.0,14.84,0,20000.0,691.75,20000.0,19900.0,14.84,0.76,0,7.41,1,0,0
4704.81,4800.0,0,4850.9,4850.900197,3.0,0,2.0,6.39,0,4800.0,146.88,4800.0,4800.0,6.39,0.618,0,16.55,0,1,0
150.53,4000.0,0,4933.4,4933.400083,37.0,0,1.0,14.17,0,4000.0,137.05,4000.0,4000.0,14.17,0.732,0,23.48,0,0,0
285.48,8400.0,0,9705.14,9705.137314,36.0,0,0.0,9.63,0,8400.0,269.59,8400.0,8400.0,9.63,0.293,0,7.71,0,0,0
888.17,24000.0,0,29601.71,30567.44762,37.0,0,0.0,16.45,0,24000.0,821.53,24000.0,23312.51318,16.45,0.958,0,21.78,0,0,0
527.22,14500.0,0,17766.28,17837.13758,37.0,0,0.0,13.98,0,14500.0,495.44,14500.0,14443.46619,13.98,0.541,0,24.68,0,0,0
3521.68,3500.0,0,3521.55,3521.55,2.0,0,1.0,7.29,0,3500.0,108.54,3500.0,3500.0,7.29,0.223,0,13.65,0,0,0
4235.88,5000.0,0,5428.73,5428.72944,9.0,0,2.0,13.99,0,5000.0,170.87,5000.0,5000.0,13.99,0.0,0,22.06,1,0,0
42.16,3600.0,0,4075.2,4103.693648,34.0,0,1.0,8.94,0,3600.0,114.38,3600.0,3575.0,8.94,0.019,0,16.56,0,0,0
9.26,2800.0,0,3457.1,3457.096307,37.0,0,1.0,14.22,0,2800.0,96.0,2800.0,2800.0,14.22,0.27,0,19.9,0,1,0
155.94,5000.0,0,5478.39,5478.387981,36.0,0,0.0,6.03,0,5000.0,152.18,5000.0,5000.0,6.03,0.146,0,2.4,0,0,0
185.97,6000.0,0,5782.82,6588.019068,37.0,0,0.0,6.17,0,6000.0,183.0,6000.0,5306.818492,6.17,0.391,0,8.07,1,0,0
